Group,Assay,Units,Mean,Median,Min,Max
DSN,ACC,RGR,1.74,1.5,0.76,4.74
DSP,ACC,RGR,2.26,2.31,0.8,3.7
SDS,ACC,RGR,1.82,1.63,0.91,3.32
DSN,BNF,15N/14N,1.2,1.1,0.6,4.2
DSP,BNF,15N/14N,1.09,1,0.6,4.6
SDS,BNF,15N/14N,1.12,1,0.8,3
DSN,IAA,mg/mL,18.01,13.51,-4.14,210.76
DSP,IAA,mg/mL,20.29,17.35,0.05,158
SDS,IAA,mg/mL,12.45,8.4,-0.64,92.2
DSN,PO4,mg/L,864.9,852.76,63.83,2051.12
DSP,PO4,mg/L,853.68,839.47,391.62,2214.72
SDS,PO4,mg/L,678.05,702.1,20.59,1414.11
